"Could not delete the fee: %1","Could not delete the fee: %1"
"Cant add type default filter: collection is loaded","Cant add type default filter: collection is loaded"
"Default option value is not defined","Default option value is not defined"
"Empty fee type for the fee with id %1","Empty fee type for the fee with id %1"
"Cart Fees:","Cart Fees:"
"Shipping Fees:","Shipping Fees:"
"Payment Fees:","Payment Fees:"
"Other Fees:","Other Fees:"
"Product Fees:","Product Fees:"
Fee,Fee
"%1 product fee is required","%1 product fee is required"
"%1 cart fee is required","%1 cart fee is required"
Edit,Edit
Delete,Delete
"Delete ""${ $.$data.name }""","Delete ""${ $.$data.name }"""
"Are you sure you wan't to delete the Fee ""${ $.$data.name }"" ?","Are you sure you wan't to delete the Fee ""${ $.$data.name }"" ?"
"Store View Fee Names","Store View Fee Names"
"Store View Fee Descriptions","Store View Fee Descriptions"
"Store View Fee Customer Message Titles","Store View Fee Customer Message Titles"
"Store View Fee Date Field Titles","Store View Fee Date Field Titles"
"Manage Options (Values of Your Fee) - Note: If the 'Required' field is set to 'Yes', select at least one 'Is default' option.","Manage Options (Values of Your Fee) - Note: If the 'Required' field is set to 'Yes', select at least one 'Is default' option."
"Is Default","Is Default"
Price,Price
"Price Type","Price Type"
"Add Option","Add Option"
"Sort Option","Sort Option"
"Estimate Fees","Estimate Fees"
"Estimate Payment Fees","Estimate Payment Fees"
"Estimate Shipping Fees","Estimate Shipping Fees"
Reset,Reset
"Apply Payment Fee","Apply Payment Fee"
"Apply Fee","Apply Fee"
"Fees were successfully applied.","Fees were successfully applied."
"Could not apply additional fee(s)","Could not apply additional fee(s)"
"You need to select required additional fees to proceed to checkout","You need to select required additional fees to proceed to checkout"
"Multi Fees","Multi Fees"
"MageWorx MultiFees","MageWorx MultiFees"
"Enable Fees","Enable Fees"
"Display Product Fees on Product Page","Display Product Fees on Product Page"
"Only for hidden fee","Only for hidden fee"
"Product Fees Position","Product Fees Position"
"Apply Fee on Click","Apply Fee on Click"
"Is a fee should be applied when the corresponding fee clicked (Yes) or by pressing the button ""Apply Fee"" (No)","Is a fee should be applied when the corresponding fee clicked (Yes) or by pressing the button ""Apply Fee"" (No)"
"Calculation Settings","Calculation Settings"
"Whether multi fees prices include tax.","Whether multi fees prices include tax."
"Display Prices in Additional Fees Block","Display Prices in Additional Fees Block"
"Display Additional Fees Amount in Cart Total","Display Additional Fees Amount in Cart Total"
"Display Additional Fees Amount in Orders, Invoices, Credit Memos","Display Additional Fees Amount in Orders, Invoices, Credit Memos"
"Display Detailed Fees List in Orders, Invoices, Credit Memos","Display Detailed Fees List in Orders, Invoices, Credit Memos"
"Add New Cart Fee","Add New Cart Fee"
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
ID,ID
Type,Type
Ordered,Ordered
"Fee Total","Fee Total"
"Add New Fee","Add New Fee"
"Add New Payment Fee","Add New Payment Fee"
"Add New Product Fee","Add New Product Fee"
"Add New Shipping Fee","Add New Shipping Fee"
"Shipping Fees (Incl. Tax)","Shipping Fees (Incl. Tax)"
